Tool Index (tool_index),Number (tool_number),Description (tool_description),Kerf Width (tool_kerfWidth),Pierce Height (tool_pierceHeight),Pierce Time (tool_pierceTime),Cut Height (tool_cutHeight),Cutting Feedrate (tool_feedCutting),Lead-In Feedrate (tool_feedEntry),Lead-Out Feedrate (tool_feedExit),Cut Power (tool_cutPower),Pierce Power (tool_piercePower),Vendor (tool_vendor),Preset Name (preset_name),Type (tool_type),Unit (tool_unit),Length Offset (tool_lengthOffset),Diameter (tool_diameter),Holder Description (holder_description),Holder Product ID (holder_productId),Holder Product Link (holder_productLink),Holder Vendor (holder_vendor),Abrasive Flow Rate (tool_abrasiveFlowRate),Orientation (tool_angle),Gauge Length (tool_assemblyGaugeLength),Assist Gas (tool_assistGas),Axial Distance (tool_axialDistance),Bead Width (tool_beadWidth),Body Length (tool_bodyLength),Break Control (tool_breakControl),Clamping (tool_clamping),Clockwise Spindle Rotation (tool_clockwise),Comment (tool_comment),Compensation (tool_compensation),Compensation Offset (tool_compensationOffset),Coolant (tool_coolant),Coolant Support (tool_coolantSupport),Corner Radius (tool_cornerRadius),Cross Section (tool_crossSection),Cutting Width (tool_cuttingWidth),Auxiliary Gas Flow Rate (tool_depositingAuxiliaryGasFlowRate),Carrier Gas Flow Rate (tool_depositingCarrierGasFlowRate),Current (tool_depositingCurrent),Power (tool_depositingPower),Shield Gas Flow Rate (tool_depositingShieldGasFlowRate),Voltage (tool_depositingVoltage),Depth of Cut (tool_depthOfCut),Diameter Offset (tool_diameterOffset),End Angle (tool_endAngle),End Cutting (tool_endCutting),Lead-In Feed per Revolution (tool_feedEntryRel),Cutting Feed per Revolution (tool_feedCuttingRel),Depositing Feedrate (tool_feedDepositing),Lead-Out Feed per Revolution (tool_feedExitRel),Plunge Feed per Revolution (tool_feedPerRevolution),Feed per Tooth (tool_feedPerTooth),Plunge Feedrate (tool_feedPlunge),Link Feedrate (tool_feedProbeLink),Measure Feedrate (tool_feedProbeMeasure),Ramp Feedrate (tool_feedRamp),Retract Feedrate (tool_feedRetract),Retract Feed per Revolution (tool_feedRetractPerRevolution),Transition Feedrate (tool_feedTransition),Wire Feedrate (tool_feedWire),Flute Length (tool_fluteLength),Use Opposite Edge (tool_grooveCompOppositeEdge),Groove Width (tool_grooveWidth),Hand (tool_hand),Head Clearance (tool_headClearance),Head Length (tool_headLength),Gauge Length (tool_holderGaugeLength),Head Length (tool_holderHeadLength),Overall Length (tool_holderOverallLength),Style (tool_holderType),Angle (tool_insertAngle),Insert size (tool_insertSize),Size specified by (tool_insertSizeSpecificationMode),Shape (tool_insertType),Width (tool_insertWidth),Internal Thread (tool_internalThread),Layer Thickness (tool_layerThickness),Leading Angle (tool_leadingAngle),Trailing edge length (tool_lengthNonCuttingEdge),Live Tool (tool_live),Lower Radius (tool_lowerRadius),Quality Control (tool_machineQualityControl),Manual Tool Change (tool_manualToolChange),Material (tool_material),Maximum Thread Pitch (tool_maximumThreadPitch),Minimum Thread Pitch (tool_minimumThreadPitch),Nozzle Diameter (tool_nozzleDiameter),Number of Flutes (tool_numberOfFlutes),Number of Teeth (tool_numberOfTeeth),Overall Length (tool_overallLength),Powder Flow Rate (tool_powderFlowRate),Category (tool_presetMaterialCategory),Materials match (tool_presetMaterialQuery),Preset Program Number (tool_presetProgram),Pressure (tool_pressure),Product ID (tool_productId),Product Link (tool_productLink),Profile Radius (tool_profileRadius),Ramp Spindle Speed (tool_rampSpindleSpeed),Relief Angle (tool_reliefAngle),Round Shank (tool_roundShank),Shaft Diameter (tool_shaftDiameter),Shank Height (tool_shankHeight),Shank Width (tool_shankWidth),Shoulder Length (tool_shoulderLength),Side Angle (tool_sideAngle),Side Cutting (tool_sideCutting),Spindle Speed (tool_spindleSpeed),Stand-off Distance (tool_standoffDistance),Stepdown (tool_stepdown),Stepover (tool_stepover),Surface Speed (tool_surfaceSpeed),Taper Angle (tool_taperAngle),Tapered Type (tool_taperedType),Thickness (tool_thickness),Thread Pitch (tool_threadPitch),Thread Profile Angle (tool_threadProfileAngle),Thread Tip Radius (tool_threadTipRadius),Thread Tip Type (tool_threadTipType),Thread Tip Width (tool_threadTipWidth),Tip Angle (tool_tipAngle),Tip Diameter (tool_tipDiameter),Tip Length (tool_tipLength),Tip Offset (tool_tipOffset),Tolerance (tool_tolerance),Trailing Angle (tool_trailingAngle),Turret (tool_turret),Upper Radius (tool_upperRadius),Use Constant Surface Speed (tool_useConstantSurfaceSpeed),Use Feed per Revolution (tool_useFeedPerRevolution),Use Depth of Cut (use_tool_depthOfCut),Use Preset Program Number (use_tool_presetProgram),Use Stepdown (use_tool_stepdown),Use Stepover (use_tool_stepover),Shaft Segments (shaft_segments),Holder Segments (holder_segments),Tool Library Version (tool_library_version),CSV_TOOLS_VERSION_1
46,46,Mild Steel - FineCut Low Speed - 30 A - 0.8 MM,0.6,3.8,0.1,1.5,3800,3800,3800,30,30,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,Mild Steel - FineCut Low Speed - 40 A - 1 MM,0.8,3.8,0.2,1.5,3800,3800,3800,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,Mild Steel - FineCut Low Speed - 40 A - 1.5 MM,0.8,3.8,0.4,1.5,3800,3800,3800,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,Mild Steel - FineCut Low Speed - 45 A - 2 MM,0.7,3.8,0.4,1.5,3700,3700,3700,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,Mild Steel - FineCut Low Speed - 45 A - 3 MM,1.3,3.8,0.5,1.5,2750,2750,2750,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,Mild Steel - FineCut Low Speed - 45 A - 4 MM,1.5,3.8,0.6,1.5,1900,1900,1900,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,Stainless Steel - FineCut Low Speed - 30 A - 0.5 MM,0.7,2,0,0.5,3800,3800,3800,30,30,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,Stainless Steel - FineCut Low Speed - 30 A - 0.6 MM,0.7,2,0,0.5,3800,3800,3800,30,30,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,Stainless Steel - FineCut Low Speed - 30 A - 0.8 MM,0.7,2,0.1,0.5,3800,3800,3800,30,30,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,Stainless Steel - FineCut Low Speed - 40 A - 1 MM,0.6,2,0.2,0.5,3800,3800,3800,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,Stainless Steel - FineCut Low Speed - 40 A - 1.5 MM,0.5,2,0.4,0.5,2900,2900,2900,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,Stainless Steel - FineCut Low Speed - 40 A - 2 MM,1.3,2,0.4,0.5,2750,2750,2750,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Stainless Steel - FineCut Low Speed - 45 A - 3 MM,1.4,2,0.5,0.5,2550,2550,2550,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,Stainless Steel - FineCut Low Speed - 45 A - 4 MM,1.5,2,0.6,0.5,1050,1050,1050,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,Stainless Steel - F5 Gas - 45 A - 8 MM,2.1,3.8,0.8,1.5,630,630,630,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,Stainless Steel - F5 Gas - 45 A - 10 MM,2.3,3.8,0.8,1.5,435,435,435,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,Stainless Steel - F5 Gas - EDGE START - 45 A - 12 MM,2.5,3.8,0.8,1.5,340,340,340,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,Mild Steel - 45 A - 16 GA,1.346,3.8,0.1,1.5,6235,6235,6235,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,Mild Steel - 45 A - 14 GA,1.37,3.8,0.2,1.5,5715,5715,5715,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,Mild Steel - 45 A - 10 GA,1.45,3.8,0.4,1.5,3277,3277,3277,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,Mild Steel - 45 A - 3/16 IN,1.5,3.8,0.5,1.5,2159,2159,2159,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,Mild Steel - 45 A - 1/4 IN,1.55,3.8,0.6,1.5,1219,1219,1219,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,Mild Steel - 45 A - 3/8 IN,1.75,3.8,0.8,1.5,838,838,838,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,Mild Steel - 45 A - 1/2 IN,1.96,3.8,1,1.5,457,457,457,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,Mild Steel - EDGE START - 45 A - 5/8 IN,2.08,3.8,1,1.5,406,406,406,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,Mild Steel - EDGE START - 45 A - 3/4 IN,2.18,3.8,1,1.5,254,254,254,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,Mild Steel - EDGE START - 45 A - 7/8 IN,2.62,3.8,1,1.5,178,178,178,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,Mild Steel - EDGE START - 45 A - 1 IN,3.02,3.8,1,1.5,152,152,152,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,Stainless Steel - 45 A - 16 GA,0.43,3.8,0.1,1.5,6020,6020,6020,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,Stainless Steel - 45 A - 14 GA,0.56,3.8,0.2,1.5,5842,5842,5842,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,Stainless Steel - 45 A - 10 GA,1.04,3.8,0.4,1.5,2286,2286,2286,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,Stainless Steel - 45 A - 3/16 IN,1.12,3.8,0.5,1.5,1600,1600,1600,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,Stainless Steel - 45 A - 1/4 IN,1.19,3.8,0.6,1.5,1016,1016,1016,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,Stainless Steel - 45 A - 3/8 IN,1.55,3.8,0.8,1.5,660,660,660,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,Stainless Steel - 45 A - 1/2 IN,1.9,4.57,1.2,1.5,304,304,304,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,Stainless Steel - EDGE START - 45 A - 5/8 IN,2.44,4.57,1.2,1.5,254,254,254,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,Stainless Steel - EDGE START - 45 A - 3/4 IN,2.95,4.57,1.2,1.5,178,178,178,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,Stainless Steel - EDGE START - 45 A - 7/8 IN,3.48,4.57,1.2,1.5,127,127,127,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,Aluminum - 45 A - 1/10 IN,1.42,3.8,0.2,1.5,6096,6096,6096,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,Aluminum - 45 A - 1/8 IN,1.52,3.8,0.4,1.5,4318,4318,4318,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,Aluminum - 45 A - 3/16 IN,1.55,3.8,0.4,1.5,3048,3048,3048,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,87,Aluminum - 45 A - 1/4 IN,1.6,3.8,0.5,1.5,1778,1778,1778,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,Aluminum - 45 A - 3/8 IN,1.85,3.8,0.7,1.5,914,914,914,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,Aluminum - EDGE START - 45 A - 1/2 IN,2.08,3.8,0.7,1.5,533,533,533,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,Aluminum - EDGE START - 45 A - 5/8 IN,2.54,3.8,0.7,1.5,381,381,381,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,91,Aluminum - EDGE START - 45 A - 3/4 IN,2.97,3.8,0.7,1.5,203,203,203,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,Mild Steel - FineCut - 40 A - 26 GA,0.64,3.8,0,1.5,8255,8255,8255,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,93,Mild Steel - FineCut - 40 A - 24 GA,0.74,3.8,0,1.5,8255,8255,8255,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,94,Mild Steel - FineCut - 40 A - 22 GA,0.61,3.8,0.1,1.5,8255,8255,8255,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,95,Mild Steel - FineCut - 40 A - 20 GA,0.51,3.8,0.1,1.5,8255,8255,8255,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,Mild Steel - FineCut - 45 A - 18 GA,1.09,3.8,0.2,1.5,8255,8255,8255,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,Mild Steel - FineCut - 45 A - 16 GA,1.17,3.8,0.4,1.5,6350,6350,6350,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,Mild Steel - FineCut - 45 A - 14 GA,1.24,3.8,0.4,1.5,5080,5080,5080,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,Mild Steel - FineCut - 45 A - 12 GA,1.32,3.8,0.5,1.5,3048,3048,3048,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,Mild Steel - FineCut - 45 A - 10 GA,1.3,3.8,0.5,1.5,2413,2413,2413,45,45,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,101,Stainless Steel - FineCut - 40 A - 26 GA,0.61,2.03,0,0.51,8255,8255,8255,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102,Stainless Steel - FineCut - 40 A - 24 GA,0.53,2.03,0,0.51,8255,8255,8255,40,40,Hypertherm,,plasma cutter,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
